id,sent1,sent2,ending0,ending1,ending2,ending3,ending4,end0type,end1type,end2type,end3type,end4type,label
155,can get it to look this way,,go to the park where the kids use their skateboards,take a picture of this couple with the bear.,stand and watch the zebras,travel to india and meet this elephant.,get a good picture with the giraffe and the child,lan,lan,vis,vis,targ,4
156,want to see my favorite animal,,go to the park,i will pose with this big animal.,i would go to the countryside to see a cow,show my little girl the giraffe.,go to the zoo to see the elephants,lan,vis,lan,vis,targ,4
157,if i could live an adventure,,fly a kite in the countryside with my friend,stand and watch the zebras,put string on a kite so i can fly it,i would climb on an elephant,go to the museum and look at the fragile forest sign and exhibit,lan,vis,lan,targ,vis,3
158,want to help,,take my umbrella to the park today,i will wash the elephant,wait for the man to move away from the giraffe,climb on top of the goat to run,i will do my job and feed the animals,lan,targ,vis,vis,lan,1
159,take a vacation and get away,,i will take a picture of the zebras standing back to back,buy a ticket for a bus tour guide,fly to thailand and play with elephants,fly a kite,watch the baby laughing at the bear,vis,lan,targ,lan,vis,2
160,want to feel happy,,pet my kitten all the afternoon,cuddle my baby and look at giraffes.,talk to the cute child,stand and watch the zebras,watch the zebras in front of the people at the outdoor table,lan,targ,lan,vis,vis,1
161,feel like taking a pretty picture,,climb on top of the goat to run,take a photo of the boy and the cake,take a picture of the man,approach the elephant to see it more closely,take a picture of the boy and the parrot,vis,lan,lan,vis,targ,4
162,feel like earning some money,,watch the skateboard perform tricks,wait for the family to leave the viewing deck,raise a glass and toast cheers,get paid for singing on a stage,get my skateboard and perform some tricks,lan,vis,vis,targ,lan,3
163,want to feel love,,go to the park to watch the parade,get my wife buy two hot dogs from a kiosk and make a funny face.,marry the man,eat a piece of pizza after i get married,join in the crowd cheering on the parade,vis,lan,targ,lan,vis,2
164,am feeling generous,,donate money to the good cause,wait for the family to leave the viewing deck,raise a glass and toast cheers,offer to help clean up the kitchen and go pat the dog.,buy a bundle of bananas,targ,vis,vis,lan,lan,0
165,wanted to have fun,,cheer the woman on,join in and sing happy birthday,celebrating the life and our faith,invite them for dinner and sing for them,go to the next birthday party eat brownies and watch them blow out the candles,vis,targ,vis,lan,lan,1
166,have the day off,,go to the parade,wait for the family to leave the viewing deck,watch the local team at the ball field from the blue seats,i'll have a quick phone call with my husband to cheer myself up,cheer on the boy at bat,targ,vis,lan,vis,lan,0
167,want to take a photo,,listen to the speech that the man is making at the podium.,wait for the family to leave the viewing deck,sit down at the table on one of the empty seats,sit on the beach next to them while the kids play,wave to the women riding horses in the parade,vis,targ,lan,lan,vis,1
168,feel happy and joyful,,have a drink too,wait until the man is married,watch an awards show,enjoy some cake and a cup of tea,raise a glass and toast cheers,lan,vis,vis,lan,targ,4
169,happy,,put on clown makeup and party with my girlfriend,have cake with the women,photobomb this woman,congratulate the happy couple,go to a party and spend time with my friends,vis,lan,lan,targ,vis,3
170,feel happy,,put on a costume and join the parade,wish the girl a happy birthday,say happy birthday to the woman with cake,perform an act to entertain the people on the stage.,eat my birthday cake,vis,targ,lan,vis,lan,1
171,feel sociable,,buy a birthday cake,hope the men finish their speeches,cut the cake by myself and get the best part of it,sing happy birthday to the girl,wait for the family to leave the viewing deck,lan,vis,lan,targ,vis,3
172,make through this day i will be happy the rest of my life.,,wait te eat some wedding cake,have so much fun at the reception,celebrate christmas by raising my hands,have a piece of wedding cake,kiss this man and mean every bit of it.,lan,targ,vis,lan,vis,1
173,want to take a picture,,give a round of applause to people receiving certificates,make jokes and laugh with my family,remember this wedding,help my bride cut the cake,watch the couple cut the cake and congratulate them,vis,vis,targ,lan,lan,2
174,want to sing happy birthday,,wait for the family to leave the viewing deck,sing the happy birthday song to the little boy,eat some birthday cake,give you a birthday cake,hope the men finish their speeches,vis,targ,lan,lan,vis,1
175,am in the room.,,offer to take a photo of the bride and man,take a pic next to the stop sing,wait for the family to leave the viewing deck,clap along with everyone else.,invite them for dinner and sing for them,vis,lan,vis,targ,lan,3
176,get lonely,,celebrate my birthday with cake and friends,eat cake with friends and family,hope the men finish their speeches,celebrate with my family,kiss this man and mean every bit of it.,lan,lan,vis,targ,vis,3
177,want to show support,,cheer for the man on the skateboard,cheer if the man hits the ball,give a round of applause to people receiving certificates,wait for the family to leave the viewing deck,cheer the boy on,lan,lan,vis,vis,targ,4
178,want to release stress and have fun after a day of working,,join everyone at the bar for a drink,watch an awards show,stay for a presentation and treats put on by the artist,join in with the people on their get together,invite all my partners and make a party,lan,vis,vis,lan,targ,4
179,was feeling a frisky mood,,wish the man a happy birthday,get closer and hear them chatting,hug the teddy bear,celebrating the life and our faith,yell out get a room to the couple hugging !,vis,lan,lan,vis,targ,4
180,want to celebrate,,join the ladies in the street,wait for the family to leave the viewing deck,join the parade,i'll have a quick phone call with my husband to cheer myself up,join the people in the snow,lan,vis,targ,vis,lan,2
181,am feeling happy,,eat a meal with this couple.,i will bump fists to celebrate,blow bubbles on the wedding couple,blow out the candles,make jokes and laugh with my family,lan,vis,targ,lan,vis,2
182,am happy for them getting married,,throw confetti over the couple,cheer on the baseball player,wait for the family to leave the viewing deck,hold onto the pole,attend a dinner like this man holding a gift.,targ,lan,vis,lan,vis,0
183,want to know what thaey are waiting for,,call my husband,listen to the children sing into the microphone.,smile and talk to other guests,give her a gift on her birthday,perform an act to entertain the people on the stage.,vis,lan,lan,vis,targ,4
184,i will beware of the ladder,,say hello to the girls,i'll smile at the other party's talk,hail and cab for the bride and groom,wait for the family to leave the viewing deck,i will leave this table to avoid the social interaction,lan,targ,vis,vis,lan,1
185,if i feel happy,,dip a finger into the icing on that cake,get paid for singing on a stage,say a funny joke to all the people,i will bump fists to celebrate,give my teammate a high five,lan,vis,vis,targ,lan,3
186,want to have some vocalization,,celebrate my birthday with a cake,sing happy birthday to the girl,wait for the family to leave the viewing deck,sing to the kids,hope the men finish their speeches,lan,targ,vis,lan,vis,1
187,wonder,,i will get behind the giraffes and take a picture of it,give a round of applause to people receiving certificates,would wear a colorful costume and sing in a trio,i would watch the parade,raise a glass and toast cheers,lan,vis,lan,targ,vis,3
188,am feeling happy,,take a picture of the happy couple cutting their cake.,go to the park to watch the parade,go to a party and spend time with my friends,sit down and eat with this couple,congratulate the happy couple,lan,vis,vis,lan,targ,4
189,feel like seeing an actor,,raise a glass and toast cheers,watch a dining programme on the television,i would invite my friends to a bar to spend time together,watch the tennis on a show court,watch an awards show,vis,lan,vis,lan,targ,4
190,am in a good mood,,enjoy some cake and a cup of tea,perform an act to entertain the people on the stage.,wait for the family to leave the viewing deck,wish the man a happy birthday,have some cake,lan,vis,vis,targ,lan,3
191,want to learn a new activity,,i will bump fists to celebrate,spend time with a nurse in hospital,volunteer at the animal shelter and help with the kennels.,celebrate with these people and wave a flag,go and eat some food or drink,vis,targ,lan,vis,lan,1
192,am feeling cheeky,,cuddle up to my teddies,wait for the family to leave the viewing deck,hope the men finish their speeches,look away from the man kissing the woman,put my arm around the couple,lan,vis,vis,lan,targ,4
193,am feeling sociable,,i will wish the couple good luck,put on clown makeup and party with my girlfriend,i will invite my family for dinner soon,give a round of applause to people receiving certificates,i will go to work,targ,vis,lan,vis,lan,0
194,wanted to celebrate,,give a round of applause to people receiving certificates,put on a party hat and join the men,throw a party,eat some cake like the party girl,hope the men finish their speeches,vis,lan,targ,lan,vis,2
195,watching them get married happily,,make jokes and laugh with my family,get married happily just like this couple,go to a wedding to watch the cake cutting.,eat cake and enjoy myself with this family and baby.,raise a glass and toast cheers,vis,targ,lan,lan,vis,1
